threads_per_block,region_dim,num_iterations,time
128,5,0,30
128,5,1,12
128,5,2,21
128,5,3,28
128,5,4,19
128,5,5,21
128,5,6,19
128,5,7,18
128,5,8,17
128,5,9,28
128,5,10,28
128,5,11,28
128,5,12,26
128,5,13,24
128,5,14,16
128,5,15,28
128,5,16,24
128,5,17,28
128,5,18,28
128,5,19,22
128,5,20,27
128,5,21,24
128,5,22,28
128,5,23,28
128,5,24,26
128,5,25,24
128,5,26,26
128,5,27,24
128,5,28,28
128,5,29,27
128,5,30,23
128,5,31,26
128,5,32,25
128,5,33,28
128,5,34,20
128,5,35,28
128,5,36,27
128,5,37,24
128,5,38,25
128,5,39,28
128,5,40,28
128,5,41,21
128,5,42,28
128,5,43,24
128,5,44,28
128,5,45,24
128,5,46,22
128,5,47,26
128,5,48,24
128,5,49,28
128,5,50,21
128,5,51,23
128,5,52,24
128,5,53,28
128,5,54,23
128,5,55,24
128,5,56,27
128,5,57,26
128,5,58,23
128,5,59,26
128,5,60,27
128,5,61,22
128,5,62,25
128,5,63,24
128,5,64,27
128,5,65,21
128,5,66,27
128,5,67,23
128,5,68,28
128,5,69,24
128,5,70,23
128,5,71,27
128,5,72,23
128,5,73,27
128,5,74,24
128,5,75,26
128,5,76,23
128,5,77,21
128,5,78,15
128,5,79,25
128,5,80,23
128,5,81,26
128,5,82,26
128,5,83,24
128,5,84,26
128,5,85,22
128,5,86,27
128,5,87,22
128,5,88,27
128,5,89,26
128,5,90,22
128,5,91,27
128,5,92,23
128,5,93,28
128,5,94,24
128,5,95,25
128,5,96,27
128,5,97,21
128,5,98,27
128,5,99,24
128,5,100,27
128,5,101,22
128,5,102,28
128,5,103,21
128,5,104,26
128,5,105,28
128,5,106,23
128,5,107,28
128,5,108,22
128,5,109,24
128,5,110,27
128,5,111,28
128,5,112,23
128,5,113,26
128,5,114,22
128,5,115,28
128,5,116,21
128,5,117,28
128,5,118,18
128,5,119,28
128,5,120,23
128,5,121,27
128,5,122,26
128,5,123,25
128,5,124,28
128,5,125,28
128,5,126,28
128,5,127,23
128,5,128,28
128,5,129,23
128,5,130,28
128,5,131,28
128,5,132,23
128,5,133,24
128,5,134,27
128,5,135,25
128,5,136,23
128,5,137,27
128,5,138,23
128,5,139,25
128,5,140,27
128,5,141,24
128,5,142,28
128,5,143,23
128,5,144,27
128,5,145,20
128,5,146,27
128,5,147,27
128,5,148,21
128,5,149,26
128,5,150,23
128,5,151,27
128,5,152,25
128,5,153,22
128,5,154,28
128,5,155,23
128,5,156,26
128,5,157,22
128,5,158,25
128,5,159,23
128,5,160,27
128,5,161,21
128,5,162,27
128,5,163,24
128,5,164,28
128,5,165,23
128,5,166,27
128,5,167,28
128,5,168,22
128,5,169,23
128,5,170,26
128,5,171,20
128,5,172,28
128,5,173,22
128,5,174,25
128,5,175,22
128,5,176,27
128,5,177,23
128,5,178,27
128,5,179,23
128,5,180,27
128,5,181,25
128,5,182,21
128,5,183,26
128,5,184,27
128,5,185,19
128,5,186,19
128,5,187,19
128,5,188,16
128,5,189,27
128,5,190,26
128,5,191,23
128,5,192,28
128,5,193,22
128,5,194,28
128,5,195,22
128,5,196,26
128,5,197,21
128,5,198,18
128,5,199,20
128,5,200,26
128,5,201,26
128,5,202,22
128,5,203,20
128,5,204,17
128,5,205,17
128,5,206,26
128,5,207,24
128,5,208,23
128,5,209,26
128,5,210,21
128,5,211,27
128,5,212,26
128,5,213,28
128,5,214,20
128,5,215,28
128,5,216,28
128,5,217,23
128,5,218,27
128,5,219,23
128,5,220,27
128,5,221,23
128,5,222,28
128,5,223,23
128,5,224,25
128,5,225,21
128,5,226,28
128,5,227,23
128,5,228,27
128,5,229,23
128,5,230,23
128,5,231,23
128,5,232,28
128,5,233,23
128,5,234,28
128,5,235,22
128,5,236,25
128,5,237,23
128,5,238,27
128,5,239,22
128,5,240,23
128,5,241,24
128,5,242,27
128,5,243,24
128,5,244,23
128,5,245,27
128,5,246,22
128,5,247,27
128,5,248,23
128,5,249,18
128,5,250,27
128,5,251,23
128,5,252,26
128,5,253,27
128,5,254,27
128,5,255,24
128,5,256,20
128,5,257,26
128,5,258,21
128,5,259,27
128,5,260,22
128,5,261,25
128,5,262,21
128,5,263,28
128,5,264,21
128,5,265,23
128,5,266,25
128,5,267,27
128,5,268,20
128,5,269,27
128,5,270,22
128,5,271,26
128,5,272,22
128,5,273,27
128,5,274,22
128,5,275,25
128,5,276,27
128,5,277,24
128,5,278,27
128,5,279,23
128,5,280,23
128,5,281,25
128,5,282,20
128,5,283,24
128,5,284,23
128,5,285,26
128,5,286,22
128,5,287,25
128,5,288,23
128,5,289,25
128,5,290,27
128,5,291,22
128,5,292,20
128,5,293,25
128,5,294,25
128,5,295,23
128,5,296,27
128,5,297,21
